	c1	c2	c3	c4	c5	c6	
r1	      1894	 1.0058078	 18.739704	 4.1309398	 .18577372	         .	
r2	       545	         1	  9.040367	 1.2311927	 .40142938	 1.59e-122	
r3	       816	         1	 12.296569	 5.5330882	 .30444288	 8.842e-15	
r4	       357	 .70588234	 39.294118	 5.6862745	 .13034756	 .31733002	
r5	         0	         .	         .	         .	         .	         .	
r6	         0	         .	         .	         .	         .	         .	
r7	         0	         .	         .	         .	         .	         .	
r8	         0	         .	         .	         .	         .	         .	
r9	         4	 .88235295	     76.25	         .	 .09805448	 .31733002	
r10	       574	 .75871082	 8.7351916	         .	 .29340442	 .15730758	
r11	         0	         .	         .	         .	         .	         .	
r12	       189	 15.612963	  61.26455	         .	 1.0689769	         .	
r13	        86	 8.5486919	 39.453488	         .	 1.0761904	 2.587e-20	
r14	         3	         1	 11.666667	 3.6666667	 1.7270314	 .08326452	
r15	         0	         .	         .	         .	         .	         .	
r16	        48	 .85119046	 59.270833	 17.958333	 .08374359	 1.151e-09	
r17	         0	         .	         .	         .	         .	         .	
r18	         0	         .	         .	         .	         .	         .	
r19	         2	         1	      19.5	         2	 .47299546	 .31733002	
r20	      2626	         .	 18.161081	         .	         .	         0	
